floor,index,x,y,z,yaw
1,1,-0.0251261,0.00108586,-0.00949455,-0.00830657
1,2,2.46319,-0.511136,0.162526,-1.13388
1,3,5.99333,-1.87058,0.134415,0.163283
1,4,6.09071,-5.14085,0.148727,-1.5692
1,5,23.2555,-5.64981,0.164253,-0.0472749
1,6,23.1501,-17.5427,0.110112,-1.51887
1,7,23.1286,-21.7007,0.0681572,-1.61984
1,8,26.9908,-21.2678,-0.0269244,0.225345
1,9,32.9888,-20.9412,-2.24359,-0.116464
1,10,33.108,-23.3793,-2.27313,-1.67603
1,11,26.67,-23.3121,-4.43697,2.87411
1,12,26.5259,-20.975,-4.38712,1.50281
1,13,33.0632,-20.8442,-6.63328,-0.0982206
1,14,33.1414,-23.2927,-6.64012,-1.62592
1,15,26.8069,-23.2904,-8.81813,3.0187
1,16,26.5243,-21.0219,-8.81253,1.58921
1,17,33.0495,-20.9232,-11.3208,-0.0559933
1,18,33.0179,-23.3613,-11.2863,-1.80631
1,19,26.5371,-23.2086,-13.6648,2.95059
1,20,22.6059,-22.4747,-13.702,-2.9047
1,21,22.3424,-26.9109,-14.0139,-1.17583
1,22,22.356,-30.9177,-14.0713,-1.60297
1,23,-32.5764,-30.7576,-13.9473,-3.07669
1,24,-42.8178,-30.1554,-14.0081,2.80748
1,25,-42.5148,-19.2767,-13.9242,1.65079
1,26,-43.4364,16.3393,-13.8242,1.71836
2,1,-33.9636,17.1559,-13.9125,0.251438
2,2,-11.0632,19.2948,-13.2794,0.398786
2,3,-0.259154,19.3944,-13.312,0.263915
